#,作者,账号,时间,原文,回复,转发,点赞,浏览,链接
27,Google Gemini,@GeminiApp,2026-04-09T19:00:03.000Z,"Rolling out today, you can create longer tracks in Gemini for FREE!

Select “Create music” in the tools menu  and “Thinking” or “Pro” from the model picker. Give it a try, and share your creations in the replies.",46,126,1100,143527,https://x.com/GeminiApp/status/2042316630253076945
28,Andrew Mayne,@AndrewMayne,2026-04-09T18:35:04.000Z,"We're so excited about what the team at 
@FoundryRobotics
 is building. Proud that 
@ZeroShotFund
 is part of this.",,3,9,2713,https://x.com/AndrewMayne/status/2042310344148992388
29,Claude,@claudeai,2026-04-09T18:28:14.000Z,"We're bringing the advisor strategy to the Claude Platform.

Pair Opus as an advisor with Sonnet or Haiku as an executor, and get near Opus-level intelligence in your agents at a fraction of the cost.",798,2700,27000,2341885,https://x.com/claudeai/status/2042308622181339453
30,Claude,@claudeai,2026-04-09T18:28:15.000Z,"In evals, Sonnet with an Opus advisor scored 2.7 percentage points higher on SWE-bench Multilingual than Sonnet alone, while costing 11.9% less per task.",85,136,1400,465440,https://x.com/claudeai/status/2042308627478773808
31,Claude,@claudeai,2026-04-09T18:28:16.000Z,"Now available in beta on the Claude Platform.

Read more:",27,52,1000,160622,https://x.com/claudeai/status/2042308629940855048
32,Foundry Robotics,@FoundryRobotics,2026-04-09T17:58:25.000Z,"American manufacturing is one of the hardest problems of our generation. We're here to solve it.

Today we announce $19M in seed funding, backed by 
@khoslaventures
, 
@hanabicapital
, 
@redglassvc
, 
@ZeroShotFund
, and all our other incredible investors.

AI-first. Software-defined.",10,32,190,51880,https://x.com/FoundryRobotics/status/2042301120253723056
33,Tibo,@thsottiaux,2026-04-09T17:51:28.000Z,"We did it, say hi to the $100 plan! 

It should be the sweet spot for a ton of you. It comes with a ton of codex usage. And yes we are resetting the limits again too as I mentioned yesterday. Let’s keep building!",357,128,3200,126978,https://x.com/thsottiaux/status/2042299371602264319
34,Tibo,@thsottiaux,2026-04-09T17:52:14.000Z,"Pro $100 and $200 come with 2X limits promotion, which we are extending",63,25,682,32279,https://x.com/thsottiaux/status/2042299561247670325
35,OpenAI Developers,@OpenAIDevs,2026-04-09T17:51:30.000Z,We’re going all in to help builders do even more with Codex.,54,21,759,38706,https://x.com/OpenAIDevs/status/2042299379613384790
36,OpenAI,@OpenAI,2026-04-09T17:38:16.000Z,"Our existing $200 Pro tier still remains our highest usage option. And as a thank you to our existing Pro users on the $200 tier, we’re extending our 2x Codex usage promo (until May 31st) and we’ve reset your Codex rate limits (yes, again).",286,395,4300,474460,https://x.com/OpenAI/status/2042296046009626989
37,OpenAI,@OpenAI,2026-04-09T17:36:50.000Z,"We’re updating our ChatGPT Pro and Plus subscriptions to better support the growing use of Codex.

We’re introducing a new $100/month Pro tier. This new tier offers 5x more Codex usage than Plus and is best for longer, high-effort Codex sessions. 

In ChatGPT, this new Pro tier",995,2200,13000,3101206,https://x.com/OpenAI/status/2042295688323875316
38,OpenAI,@OpenAI,2026-04-09T17:36:51.000Z,"The Codex promotion for existing Plus subscribers ends today and as a part of this, we’re rebalancing Codex usage in Plus to support more sessions throughout the week, rather than longer sessions in a single day.

The Plus plan will continue to be the best offer at $20 for",70,93,1200,250569,https://x.com/OpenAI/status/2042295690382995789
39,OpenAI,@OpenAI,2026-04-09T17:36:51.000Z,,34,21,536,189754,https://x.com/OpenAI/status/2042295692324991329
40,Josh Woodward,@joshwoodward,2026-04-09T17:19:40.000Z,Expect even more creative model replies (like this) coming soon!,28,17,483,48865,https://x.com/joshwoodward/status/2042291365107941669
41,Google for Developers,@googledevs,2026-04-09T17:16:14.000Z,"Future-proof your skills at a Build with AI event!

Over 500 developers and founders joined GDG NYC and Columbia Business School to build with Gemini and learn from Google Cloud experts.

Find an event near you → 
https://
goo.gle/40ZgPQJ",1,5,49,4605,https://x.com/googledevs/status/2042290504264749470
42,Evan Morikawa,@E0M,2026-04-09T16:42:58.000Z,A shocking number of real industrial tasks require human operators to tap something on a screen. Classically integrating with such systems has been the death of many older robotics companies. What if you could just have the robot read tap the screen!,1,4,24,4509,https://x.com/E0M/status/2042282131830006237
43,Stitch by Google,@stitchbygoogle,2026-04-09T16:50:09.000Z,"We wanted to thank everyone again for the amazing response to the new Stitch! 

Since launch, we've been listening closely to your feedback and working hard to make your vibe design partner even better.  Here is an update on some of the top papercuts we just fixed:",12,17,328,15862,https://x.com/stitchbygoogle/status/2042283938203517188
44,Google DeepMind,@GoogleDeepMind,2026-04-09T16:48:20.000Z,"Gemma 4 punches above its weight, outperforming models 10x its size without the need for massive compute.

With 10M+ downloads in its first week and 500M+ for the Gemma family overall, we’re excited to see this level of engagement within the open research community.",66,130,1200,95989,https://x.com/GoogleDeepMind/status/2042283481640615944
45,Google DeepMind,@GoogleDeepMind,2026-04-09T16:48:20.000Z,Start building with Gemma 4 ↓,3,6,52,14064,https://x.com/GoogleDeepMind/status/2042283483679039800
46,Google Gemini,@GeminiApp,2026-04-09T16:04:22.000Z,"Gemini can now transform your questions and complex concepts into customizable interactive  visualizations directly in your chat.

Adjust variables, rotate 3D models, and explore data for a more immersive way to learn and explore in Gemini.",207,803,5300,310003,https://x.com/GeminiApp/status/2042272415951253932
47,Google Gemini,@GeminiApp,2026-04-09T16:29:12.000Z,"To try it, head to 
http://
gemini.google on web, and select “Pro” from the model picker, and ask Gemini to “show me” or “help me visualize” a complex concept so you can see for yourself.

What’s the first prompt you’re going to visualize?",19,23,233,21855,https://x.com/GeminiApp/status/2042278665397187011
48,GoogleTrends,@GoogleTrends,2026-04-09T16:18:29.000Z,"Moms are always trending in our hearts  but this past month searches for ""90s butter mom"" spiked +1290%! What type of mom did you grow up with?",,,2,1630,https://x.com/GoogleTrends/status/2042275971714433435
49,Claude,@claudeai,2026-04-09T16:09:41.000Z,"Claude Cowork is now generally available to all paid plans.

For Enterprise, we are adding role-based access controls, group spend limits, usage analytics, and expanded OpenTelemetry to give admins what they need to deploy it across the org.",367,746,7800,1941710,https://x.com/claudeai/status/2042273755485888810
50,Claude,@claudeai,2026-04-09T16:09:41.000Z,"Since the research preview, teams have been using Cowork to prepare for client meetings, build financial models, review contracts, and work through the multi-step tasks that used to take handoffs across functions.",12,20,445,111413,https://x.com/claudeai/status/2042273756983226661
51,Claude,@claudeai,2026-04-09T16:09:42.000Z,Available on macOS and Windows:,15,25,334,100416,https://x.com/claudeai/status/2042273758208020610
52,Google for Startups,@GoogleStartups,2026-04-09T16:00:01.000Z,"Solopreneurs—with tools like Vertex AI, you can orchestrate multi-agent workflows that build, implement, and review while you focus on the big picture. 

Is building your agent team on your 2026 roadmap?",2,1,5,375,https://x.com/GoogleStartups/status/2042271320444940465
53,OpenAI Newsroom,@OpenAINewsroom,2026-04-09T15:55:23.000Z,"90 days in and 400+ customer meetings later, Chief Revenue Officer Denise Dresser shares what she’s learned since starting at OpenAI and what it means for our enterprise strategy. 
https://
openai.com/index/next-pha
se-of-enterprise-ai/
…",47,33,426,33970,https://x.com/OpenAINewsroom/status/2042270154701361161
54,Claude Code Community,@claude_code,2026-04-09T15:39:03.000Z,"Tip: Use 
@pbakaus
's impeccable for critique/audit and polishing of your frontend.

Get started by installing the skill and then:
1) /impeccable teach
2) /audit 
3) /critique",3,,42,6978,https://x.com/claude_code/status/2042266044090433974
55,Claude Code Community,@claude_code,2026-04-09T15:39:04.000Z,"https://
impeccable.style by @pbakaus is the best skill i've used this year.

Can't believe it's free",,,,1811,https://x.com/claude_code/status/2042266048473575537
56,Google Workspace,@GoogleWorkspace,2026-04-02T16:03:49.000Z,"Google Vids is an easy-to-use video editing suite, and we just added new AI capabilities, starting with:

High-quality video generation with Veo 3.1, available to everyone at no cost  

Find out what else is new  then get started creating at 
http://
vids.new",48,220,1700,224234,https://x.com/GoogleWorkspace/status/2039735565696786919
57,Miles Brundage,@Miles_Brundage,2026-04-09T00:28:27.000Z,"Some comments on the auditing section of OpenAI's recent policy document (""Industrial Policy for the Intelligence Age"").

TL;DR it's a good section + reflects more nuanced thinking than many prior OAI docs, so I hope future OAI docs look more like this one than past ones",4,6,45,3772,https://x.com/Miles_Brundage/status/2042036884613034010
58,Philipp Schmid,@_philschmid,2026-04-09T14:31:13.000Z,"Just finished my talk on “Why do (Senior) Engineers struggle to build AI Agents” If you missed or want to read about, blog post below. To succeed, we have to accept:

 Text is the new state.
 Hand Over Control.
 Errors Are Just Inputs.
 Move from Unit Tests to Evals.",7,11,103,5280,https://x.com/_philschmid/status/2042248973847613878
59,Philipp Schmid,@_philschmid,2026-04-09T14:31:13.000Z,Blog:,,,14,1322,https://x.com/_philschmid/status/2042248976326328428
60,Steven Johnson,@stevenbjohnson,2026-04-08T21:36:13.000Z,"Last year 
@NotebookLM
 introduced public/featured notebooks to share curated knowledge bases with the world. 

Now we are making it easier for you to work with the knowledge you need by launching notebooks as a core organizational unit for Gemini. 

Bonus for existing NotebookLM",10,19,152,17119,https://x.com/stevenbjohnson/status/2041993542290305469
61,Nick Fox,@thefox,2026-04-08T16:07:39.000Z,"The new AI-powered Google Finance is going global and shipping to 100+ countries… it’s a total reinvention of Google Finance with AI at the core 

+ AI-powered market research
+ Advanced charting
+ Live earnings calls
+ Expanded real-time data

Try it:",110,322,2300,357793,https://x.com/thefox/status/2041910855479259400
62,Google AI Developers,@googleaidevs,2026-04-09T12:55:47.000Z,"Watch this ADK Agent powered by Gemma 4 31B use the Google Maps MCP Server to build a custom food tour in this demo 

See the model in action with:
-Multi-step reasoning (solving complex routes)
-Multimodal logic (processing visuals and text)
-Live data integration (direct",9,25,217,19115,https://x.com/googleaidevs/status/2042224957405483094
63,Google Gemini,@GeminiApp,2026-04-08T20:54:39.000Z,"Project organization is here: Introducing notebooks in Gemini.

You can now keep multiple projects organized and even add past chats and relevant files as sources, so you have a dedicated space to focus on the task at hand.

Select “New notebook” in the side panel to get started.",212,721,4000,434623,https://x.com/GeminiApp/status/2041983079787721013
64,Design Arena,@Designarena,2026-04-07T21:54:37.000Z,"BREAKING: Veo 3.1 Fast and Veo 3.1 by 
@GoogleDeepMind
 are in 1st and 2nd place on Multi-Image to Video Arena

These models can successfully reference multiple input images to create a video that users love

At an average generation time of 48 seconds, they are also the two",4,18,184,26407,https://x.com/Designarena/status/2041635784835657994
65,Noam Brown,@polynoamial,2026-04-09T05:59:53.000Z,"I'm surprised that, more than a year later, it's still the norm to compare reasoning models on evals by a single number.",17,25,381,52317,https://x.com/polynoamial/status/2042120295449010612
66,Thariq,@trq212,2026-04-08T17:46:44.000Z,"Managed Agents is the first 'agent in the cloud' API that has the right mix of simplicity and complexity.

Implementation details like how you manage a sandbox are abstracted, but you have a lot of control over the actual execution of the model.",130,118,1500,391997,https://x.com/trq212/status/2041935792596304030
67,Anthony Morris ツ,@amorriscode,2026-04-09T03:30:45.000Z,is this tweet original content????,1,,20,3170,https://x.com/amorriscode/status/2042082762321227903
68,Thariq,@trq212,2026-04-09T03:36:45.000Z,this is so niche I cant even tell what youre subtweeting,3,,21,2970,https://x.com/trq212/status/2042084273763823963
69,Robert Bye,@RobertJBye,2026-04-08T23:10:29.000Z,"You can now customise your 
@claudeai
 iOS widgets to get to Claude Code and Dispatch faster.",59,84,1800,178662,https://x.com/RobertJBye/status/2042017264078352567
70,Kevin Weil,@kevinweil,2026-04-09T02:55:25.000Z,Five Erdos problems at once! The proofs are getting more elegant as the models improve,4,10,253,21454,https://x.com/kevinweil/status/2042073869880848481
71,Tibo,@thsottiaux,2026-04-09T02:31:42.000Z,I realize yesterday’s Codex reset came in a bit at an unfortunate time given the last one was almost perfectly a week ago. To really celebrate the 3M I’ll reset again tomorrow. Thanks for the feedback!,640,650,6500,502728,https://x.com/thsottiaux/status/2042067902392942790
72,Yo Shavit,@yonashav,2026-04-08T22:35:27.000Z,this is all a lot,2,2,104,6462,https://x.com/yonashav/status/2042008450482499618
73,James Campbell,@jam3scampbell,2026-04-09T00:32:18.000Z,"anthropic roommate came back sloppy drunk at 3am last night and had a full scale crash out through tears and slurred words about how the world will never be the same

glad to hear the mythos release was received well internally",55,80,4000,284056,https://x.com/jam3scampbell/status/2042037856588447883
74,Sundar Pichai,@sundarpichai,2026-04-08T21:34:47.000Z,"Nothing quite like the blank pages of a fresh notebook!

Notebooks are now rolling out in the 
@Geminiapp
. Organize conversations, notes, and other sources related to a single project (and easily go back and forth between 
@NotebookLM
 to go deeper). Rolling out today, starting with",106,257,2200,180557,https://x.com/sundarpichai/status/2041993181345280218
75,Logan Kilpatrick,@OfficialLoganK,2026-04-08T23:44:45.000Z,"Projects in the 
@GeminiApp
 are now live, with a fun twist…. Notebooks! Enjoy the NotebookLM inspired experience.",61,79,935,51469,https://x.com/OfficialLoganK/status/2042025888053702911
76,Simon,@tokumin,2026-04-08T21:02:23.000Z,"Notebooks in Gemini as Knowledge Bases for your  projects ....or just to organize your chats.... Shipped! 

Notebooks in Gemini are also available inside NotebookLM, unlocking cross product superpowers like transforming your gemini chats into detailed Cinematic Video Overviews in",6,16,143,7787,https://x.com/tokumin/status/2041985025592455210
77,Sundar Pichai,@sundarpichai,2026-04-08T22:57:40.000Z,Lots of love for Gemma 4! Team just told me it’s already had 10M+ downloads since last week’s launch. Gemma models have now been downloaded 500M+ times! Excited to see what you all are creating,195,304,5500,309635,https://x.com/sundarpichai/status/2042014040055276028
78,Logan Kilpatrick,@OfficialLoganK,2026-04-08T23:04:17.000Z,,5,1,116,6605,https://x.com/OfficialLoganK/status/2042015705604800837
79,Thariq,@trq212,2026-04-08T22:21:55.000Z,"I want to do some streams where I work with non-technical people using Claude Code to figure out how they might be able to improve their process. 

My feeling is that just a few tips could make a big difference in efficiency. Any mutuals interested?",675,94,3300,172300,https://x.com/trq212/status/2042005043289977232
80,Thariq,@trq212,2026-04-08T22:24:45.000Z,would like to start with people I know already so we can get over initial awkwardness!,41,,220,23619,https://x.com/trq212/status/2042005754262208708
81,GoogleTrends,@GoogleTrends,2026-04-08T22:18:13.000Z,"What are the ""it"" looks this festival season? Here are the trending apparel items people in LA are searching for:",,1,9,2003,https://x.com/GoogleTrends/status/2042004111353377104
82,Paul Solt,@PaulSolt,2026-04-07T03:08:57.000Z,"Get started with Plugins. 

The right plugins can be a big unlock outside of code.",3,11,143,25674,https://x.com/PaulSolt/status/2041352499987149045
83,Sundar Pichai,@sundarpichai,2026-04-08T21:34:47.000Z,More details:,4,18,101,28236,https://x.com/sundarpichai/status/2041993183383728570
84,Google for Developers,@googledevs,2026-04-08T21:00:00.000Z,"Wednesday Build Hour continues. Come to learn. Leave with something to build.

Explore fast-moving sessions hosted by Google experts covering the tools that matter right now, from Cloud Run to Gemini to the latest in AI agent orchestration.

Check out what’s on the calendar:",5,13,75,7817,https://x.com/googledevs/status/2041984429325771227
85,Google,@Google,2026-04-08T20:59:48.000Z,"Meet notebooks in the 
@GeminiApp
 

We’re connecting Gemini with 
@NotebookLM
, our AI-powered research partner, to create a home base for your projects that stays in sync across both tools.

Here’s how to use notebooks",81,225,1100,145515,https://x.com/Google/status/2041984377102512293
86,Google,@Google,2026-04-08T20:59:49.000Z,"Notebooks stay in sync across 
@GeminiApp
  
@NotebookLM
.

Sources you add in the Gemini app show up in NotebookLM, and vice versa. Upload class notes to make flashcards in NotebookLM, then ask the Gemini app to quiz you on them later.

Your work is always where you need it.",6,12,74,33833,https://x.com/Google/status/2041984382861299852
87,Google,@Google,2026-04-08T20:59:50.000Z,"We're rolling out notebooks in Gemini this week, starting with Google AI Ultra, Pro and Plus subscribers on the web.

In the coming weeks we'll expand access to mobile, more countries across Europe and to free users.

Learn more ↓",7,5,48,29562,https://x.com/Google/status/2041984385843405304
88,OpenAI Developers,@OpenAIDevs,2026-04-08T20:55:46.000Z,Codex brings your work context together so you can make better decisions with clearer priorities.,50,42,501,59635,https://x.com/OpenAIDevs/status/2041983360780939416
89,Google Gemini,@GeminiApp,2026-04-08T20:55:28.000Z,"Notebooks in Gemini are rolling out this week, starting with Google AI Ultra, Pro, and Plus subscribers on the web. In the coming weeks we'll expand access to mobile, more countries across Europe and to free users.

For more information about notebooks in Gemini, check out our",12,30,341,36514,https://x.com/GeminiApp/status/2041983287577735396
90,Google Gemini,@GeminiApp,2026-04-08T20:55:28.000Z,"Gemini  
@NotebookLM


Good news for NotebookLM users: Now you can access all your existing personal notebooks within Gemini too.",11,16,280,39642,https://x.com/GeminiApp/status/2041983289062547772
91,Josh Woodward,@joshwoodward,2026-04-08T20:51:02.000Z,"Most Al chatbots give you basic ""projects."" Gemini just built you a second brain. 

Introducing Notebooks: some of the magic from 
@NotebookLM
, integrated directly into 
@GeminiApp
.

Here's what changes for you today:

 Upload 100 sources for free

 Organize your chats - the",101,214,1200,349385,https://x.com/joshwoodward/status/2041982173402821018
92,Jerry Tworek,@MillionInt,2026-04-08T20:25:35.000Z,"Progenitors of a new race
Parents of a legion
Adam and Eve of automation

Corey, Otto, Myrtle, Dewey and North",4,,137,10353,https://x.com/MillionInt/status/2041975764959342917
93,Alex Albert,@alexalbert__,2026-04-08T18:10:18.000Z,"I've found Managed Agents to somehow be both the fastest way to hack together a weekend agent project and the most robust way to ship one to millions of users.

It eliminates all the complexity of self-hosting an agent but still allows a great degree of flexibility with setting",77,46,972,140116,https://x.com/alexalbert__/status/2041941720611614786
94,dominik kundel,@dkundel,2026-04-08T18:00:42.000Z,"Codex Tip 

Create a local environment to have Codex auto install dependencies for your worktrees and create actions for quick access to common commands.  

Actions get executed in your integrated terminal so Codex can also access the terminal output.  

For iOS developers",21,32,582,63399,https://x.com/dkundel/status/2041939304751231147
95,Thariq,@trq212,2026-04-08T17:46:47.000Z,"One of my favorite concepts is the idea of defining outcomes where the agent will work until the rubric is satisfied.


https://
platform.claude.com/docs/en/manage
d-agents/define-outcomes
…",6,,61,13180,https://x.com/trq212/status/2041935803660841031
96,Thariq,@trq212,2026-04-08T17:46:48.000Z,"The docs are a gold mine, read more here:",13,9,102,14943,https://x.com/trq212/status/2041935805590204754
97,Joaquin Quiñonero Candela,@jquinonero,2026-04-08T17:34:06.000Z,Oops?,,,1,224,https://x.com/jquinonero/status/2041932610516217956
98,Anthropic,@AnthropicAI,2026-04-08T17:20:33.000Z,"New on the Engineering Blog: 

Building Managed Agents—our hosted service for long-running agents—meant solving an old problem in computing: how to design a system for “programs as yet unthought of.”

Read more:",241,520,3300,435661,https://x.com/AnthropicAI/status/2041929199976640948
99,Demis Hassabis,@demishassabis,2026-04-08T17:17:35.000Z,"Great to chat with fellow Londoner 
@HarryStebbings
 about the path to AGI and how we’re using AI today to accelerate science & medicine. Appreciated our discussion on the incredible talent & potential for deep tech here in the UK. Thanks for the kind words and for having me on!",34,70,775,117456,https://x.com/demishassabis/status/2041928454887686305
100,Claude,@claudeai,2026-04-08T17:14:32.000Z,"Introducing Claude Managed Agents: everything you need to build and deploy agents at scale.

It pairs an agent harness tuned for performance with production infrastructure, so you can go from prototype to launch in days.

Now in public beta on the Claude Platform.",2000,8900,55000,19762762,https://x.com/claudeai/status/2041927687460024721
101,Claude,@claudeai,2026-04-08T17:14:35.000Z,"On 
@vibecodeapp_
, developers can now spin up agent infrastructure at least 10x faster with Managed Agents, going from a prompt to a deployed app without weeks of setup:",32,65,985,395081,https://x.com/claudeai/status/2041927698210058629
102,Claude,@claudeai,2026-04-08T17:14:35.000Z,"Build and deploy your agents through the Claude Console, Claude Code, or our new CLI: 
https://
platform.claude.com/workspaces/def
ault/agent-quickstart
…

Read more on the blog:",48,94,1000,367793,https://x.com/claudeai/status/2041927700063883281
103,Google for Developers,@googledevs,2026-04-08T17:02:07.000Z,"Play the #GoogleIO puzzles then remix your own. Which is your favorite? 

Experience levels designed with Gemini 3 and an AI caddy that definitely has notes on your golf swing → 
https://
goo.gle/iopuzzle26-1",8,10,72,7538,https://x.com/googledevs/status/2041924563949219876
104,Jacob Trefethen,@JacobTref,2026-04-08T13:52:06.000Z,"Alzheimer’s is one of medicine's hardest unsolved problems, and one of the most devastating.

At the OpenAI Foundation, we believe AI is well suited to its complexity. We're directing over $100M to scientists mapping the disease, designing drugs, & more.

I wrote about it here:",162,296,2000,225939,https://x.com/JacobTref/status/2041876743666200980
105,Andrew Mayne,@AndrewMayne,2026-04-08T16:32:15.000Z,"So thrilled to be working with my friends 
@ZeroShotFund",2,3,29,2556,https://x.com/AndrewMayne/status/2041917048318734468
106,Robby Stein,@rmstein,2026-04-08T16:08:53.000Z,"Now rolling out: The new AI-powered Google Finance is landing in 100+ countries, including Australia, Brazil, Canada, Indonesia, Japan and Mexico.

Great for digging into market research, catching live earnings transcripts or tracking crypto & commodities in real time.

If you’ve",7,28,178,87675,https://x.com/rmstein/status/2041911165757092337
