#,作者,账号,时间,原文,回复,转发,点赞,浏览,链接
33,Google for Developers,@googledevs,2026-03-18T18:19:28.000Z,"Whether you’ve been designing for decades or you’re whiteboarding your first software idea, Stitch can help you turn concepts into prototypes in minutes rather than days:",2,3,22,4249,https://x.com/googledevs/status/2034333883966325157
34,Google for Developers,@googledevs,2026-03-18T18:19:47.000Z,"Stitch is accessible by users 18+ who are located in regions where Gemini is available. 

Learn more about the platform and the updates we’re making today in our blog:",,2,6,3275,https://x.com/googledevs/status/2034333961913307365
35,Google AI,@GoogleAI,2026-03-18T18:15:49.000Z,"Today, we’re evolving 
@StitchbyGoogle
 from 
@GoogleLabs
 into an AI design canvas transforms natural language prompts into production-ready front-end code.

Some highlights from what’s new:

1. A complete redesign of the Stitch UI, which can now ingest multimodal references (text",66,199,1500,207854,https://x.com/GoogleAI/status/2034332963811344738
36,Google AI,@GoogleAI,2026-03-18T18:15:49.000Z,"Stitch is accessible by users 18+ who are located in regions where Gemini is available.

Learn more about the platform and the updates we’re making today in our blog:",1,7,64,12531,https://x.com/GoogleAI/status/2034332965723845040
37,Stitch by Google,@stitchbygoogle,2026-03-18T18:15:21.000Z,"Meet the new Stitch, your vibe design partner.

Here are 5 major upgrades to help you create, iterate and collaborate:
 AI-Native Canvas
 Smarter Design Agent
 Voice 
 Instant Prototypes
 Design Systems and DESIGN.md

Rolling out now. Details and product walkthrough",455,3100,20000,6256873,https://x.com/stitchbygoogle/status/2034332847893574080
38,Stitch by Google,@stitchbygoogle,2026-03-18T18:15:25.000Z,"Design Systems and DESIGN.md

Consistency using Design Systems and DESIGN.md:

 Every new design automatically starts with a cohesive design system which GREATLY improves consistency (we heard you!)

 Edit the system, and all associated screens can be easily updated

 You",3,26,233,88202,https://x.com/stitchbygoogle/status/2034332864314298524
39,Stitch by Google,@stitchbygoogle,2026-03-18T18:15:25.000Z,"Thanks for all of your feedback. We took it in, and built this for you... 

Let us know what you think. 

Read more about DESIGN.md in the docs",8,14,242,54166,https://x.com/stitchbygoogle/status/2034332866038141321
40,gabriel,@gabriel1,2026-03-18T18:05:00.000Z,"go try openai parameter golf! 

presented by two favorites",6,3,206,27058,https://x.com/gabriel1/status/2034330243713134751
41,Gemini CLI,@geminicli,2026-03-18T17:50:22.000Z,"We want to be transparent that we’re making changes to Gemini CLI that may impact your workflow, including more robust detection of policy-violating use cases, prioritizing traffic for certain types of accounts, and restricting Gemini Pro models for free tier users. 

We",83,58,348,99725,https://x.com/geminicli/status/2034326558719062375
42,Thariq,@trq212,2026-03-18T17:44:04.000Z,hope to see you there!,46,10,400,46765,https://x.com/trq212/status/2034324975554117898
43,Josh Woodward,@joshwoodward,2026-03-18T17:40:54.000Z,Show us what you're building with these Gemini API updates!,10,9,118,8545,https://x.com/joshwoodward/status/2034324178044871002
44,will depue,@willdepue,2026-03-18T17:32:04.000Z,working with runpod to make this challenge happen! use the Runpod Parameter Golf template to get started,3,3,83,10163,https://x.com/willdepue/status/2034321955160207411
45,gabriel,@gabriel1,2026-03-18T16:57:17.000Z,"sweden forced me to leave all my equity behind in a startup i left before. 1 year cliff in sweden is ILLEGAL to ""protect employees""

they tried force me to pay 70% tax to get equity in the early startup which is money i didn't have

not even communism just raw capital destruction",45,22,1300,78981,https://x.com/gabriel1/status/2034313201610019143
46,gabriel,@gabriel1,2026-03-18T16:57:39.000Z,this would be incredible,2,,57,9147,https://x.com/gabriel1/status/2034313294488719691
47,gabriel,@gabriel1,2026-03-18T17:22:23.000Z,it's not even protecting employees???? i do not understand why would you have a socialist regulation that hurts the people and protects companies from employees leaving? beyond me it's so unfathomably stupid,2,1,65,4898,https://x.com/gabriel1/status/2034319517162295532
48,Google for Developers,@googledevs,2026-03-18T17:16:46.000Z,"New Gemini API tooling capabilities are here, enabling devs to combine custom function calling and built-in tools (such as Google Search) in a single API call 

Start building with:

+ Hybrid tool usage (Built-in + Custom)
+ Cross-tool context circulation
+ Tool response IDs",8,30,189,12937,https://x.com/googledevs/status/2034318103291855171
49,will depue,@willdepue,2026-03-18T17:15:19.000Z,"we're launching a challenge, inspired by 
@kellerjordan0
's NanoGPT Speedrun, to train the best model under extreme parameter limitations 

anytime i get asked how to break into ML, i point to challenges like this: just start training models!

also, we're covering $1M of compute",17,31,677,64093,https://x.com/willdepue/status/2034317740845207648
50,Google Gemini,@GeminiApp,2026-03-11T17:28:30.000Z,"We’ve been seeing some amazing Nano Banana 2 creations lately. 

Here are some standouts.",378,528,9600,2083878,https://x.com/GeminiApp/status/2031784342037680413
51,Google Gemini,@GeminiApp,2026-03-18T17:14:03.000Z,"Ever seen a normal object… but one tiny detail hides an entire secret world? 

This single prompt turns everyday items into impossible cinematic scenes. Just swap variables and watch AI go wild.

Steal it → remix it → tag me if it bangs
Made with Nano Banana 2

Prompt:",3,1,27,14886,https://x.com/GeminiApp/status/2034317419200794862
52,Google Gemini,@GeminiApp,2026-03-18T17:14:19.000Z,"Tiny Ruins, Timeless Power 

From the mighty Colosseum, to the hidden heights of Machu Picchu, the rose-red mystery of Petra, and the enduring strength of Amphitheatre of El Jem…
History is no longer distant or abstract. It rises, layer by layer, into miniature worlds you  x.com/yourPlugAI/sta…",4,2,25,12984,https://x.com/GeminiApp/status/2034317486200668608
53,OpenAI,@OpenAI,2026-03-18T17:06:02.000Z,"Are you up for a challenge? 


http://
openai.com/parameter-golf",279,351,3300,789121,https://x.com/OpenAI/status/2034315401438580953
54,OpenAI Developers,@OpenAIDevs,2026-03-18T17:05:32.000Z,"We’re reviewing Codex for Open Source applications on a rolling basis.

Here are some of the projects and maintainers who just joined our Codex for OSS community",54,31,463,71400,https://x.com/OpenAIDevs/status/2034315278964998407
55,OpenAI Developers,@OpenAIDevs,2026-03-18T17:05:47.000Z,"Update: Our Lab is now fully transitioned to Codex!

 Happy to share that all Members of the Technical Staff of #CRASHLab are now on Codex through a generous support from @OpenAI through ChatGPT Pro! 

 This is almost  ~ $15000 dollars worth in kind support and I am",1,,12,9596,https://x.com/OpenAIDevs/status/2034315338540818889
56,OpenAI Developers,@OpenAIDevs,2026-03-18T17:05:49.000Z,ICYMI,2,,19,9534,https://x.com/OpenAIDevs/status/2034315350582645053
57,Eric Buess,@EricBuess,2026-03-18T15:10:31.000Z,Dispatch in Claude Cowork is,3,1,19,2598,https://x.com/EricBuess/status/2034286330587324778
58,Logan Kilpatrick,@OfficialLoganK,2026-03-18T16:40:53.000Z,"Lots of great Gemini API updates shipping today 

1. Built-in tools (search, maps, file search) now work with function calling
2. We now do context circulation with built-in tools for better model performance
3. Grounding with Google Maps now works with Gemini 3!!",115,67,972,80486,https://x.com/OfficialLoganK/status/2034309073651347821
59,Philipp Schmid,@_philschmid,2026-03-18T16:44:54.000Z,LFG! Great effort by the team! Step by step.,,,9,1224,https://x.com/_philschmid/status/2034310086089175103
60,Philipp Schmid,@_philschmid,2026-03-18T16:40:01.000Z,"We shipped one of the most requested Gemini API features!  You can now combine built-in tools (Google Search, URL Context,…) with your own functions custom in a single API call. Gemini orchestrates everything:

 Combine Google Search, Google Maps, File Search or Url Context",10,32,240,11508,https://x.com/_philschmid/status/2034308856885481791
61,Philipp Schmid,@_philschmid,2026-03-18T16:40:02.000Z,"Blog: 
https://
blog.google/innovation-and
-ai/technology/developers-tools/gemini-api-tooling-updates
…

Example:  
https://
ai.google.dev/gemini-api/doc
s/interactions?ua=chat#combining_built-in_tools_and_function_calling
…

Docs:",,1,6,1406,https://x.com/_philschmid/status/2034308859418890299
62,Claude,@claudeai,2026-03-18T16:38:40.000Z,"Our developer conference Code with Claude returns this spring, this time in San Francisco, London, and Tokyo. 

Join us for a full day of workshops, demos, and 1:1 office hours with teams behind Claude.

Register to watch from anywhere or apply to attend: 
https://
claude.com/code-with-clau
de
…",307,868,6100,923783,https://x.com/claudeai/status/2034308517964956051
63,Google AI Developers,@googleaidevs,2026-03-18T16:38:03.000Z,"Announcing Gemini API tooling updates 

Developers can now combine built-in tools and custom function calling in a single API call for seamless agentic workflows.

New tooling capabilities allow devs to:
- Combine built-in and custom tools in the same interaction
- Cross-tool",21,32,245,21276,https://x.com/googleaidevs/status/2034308361638797377
64,Google AI Developers,@googleaidevs,2026-03-18T16:38:04.000Z,Start building with the Gemini API today ↓,,1,11,2651,https://x.com/googleaidevs/status/2034308363945664951
65,Anthropic,@AnthropicAI,2026-03-18T16:13:23.000Z,"We invited Claude users to share how they use AI, what they dream it could make possible, and what they fear it might do.

Nearly 81,000 people responded in one week—the largest qualitative study of its kind.

Read more:",224,840,4300,1081449,https://x.com/AnthropicAI/status/2034302152945144166
66,Anthropic,@AnthropicAI,2026-03-18T16:13:26.000Z,"These interviews capture texture that surveys can’t. They render in detail how people worldwide are already experiencing AI's opportunities and risks.

We plan to use Anthropic Interviewer regularly, on different topics, to help inform how AI can be built to benefit everyone.",4,2,141,29274,https://x.com/AnthropicAI/status/2034302167612616704
67,Anthropic,@AnthropicAI,2026-03-18T16:13:27.000Z,"Thank you to the 80,508 people who took the time to speak with us. It has been striking, and humbling, to see how AI figures in so many people’s hopes, fears, and dreams.

Read the full post here:",11,10,180,28557,https://x.com/AnthropicAI/status/2034302168879267871
68,Anthropic,@AnthropicAI,2026-03-18T16:13:26.000Z,"Globally, 67% of people view AI positively, but optimism runs higher in South America, Africa, and Asia than in Europe or the United States.",11,33,168,36376,https://x.com/AnthropicAI/status/2034302165913862443
69,Gabriel Chua,@gabrielchua,2026-03-18T15:30:00.000Z,"Now with `gpt-5.4-mini` and `nano` out, I put together a simple cheat sheet of the latest OpenAI models by use case.

Noticed at a few recent hackathons & meetups: some folks still default to `gpt-4o-mini` for LLMs and `whisper-1` for transcription.

Newer options tend to fit",24,21,260,23937,https://x.com/gabrielchua/status/2034291236086194621
70,Jerry Tworek,@MillionInt,2026-03-18T15:42:42.000Z,"Imagine future of work

AI is not here to ""destroy"" anything, but surely will change how we work, forever",33,6,180,8907,https://x.com/MillionInt/status/2034294430891720991
71,Google for Startups,@GoogleStartups,2026-03-18T15:00:01.000Z,"AI isn’t replacing teams–it’s joining them. 

Amit Shah, founder and CEO of 
@InstaLILYAI
, shares how he’s building AI agents that operate alongside humans inside enterprise workflows using 
@Google
’s AI stack.

In this conversation, Amit covers how founders can:
  Turn AI into",1,1,6,706,https://x.com/GoogleStartups/status/2034283691183087962
72,Google for Startups,@GoogleStartups,2026-03-18T15:00:03.000Z,What else did you take away from Amit? Drop some knowledge below.,,,2,282,https://x.com/GoogleStartups/status/2034283696761536594
73,Alex Albert,@alexalbert__,2026-03-18T14:30:25.000Z,"We're hosting a webinar today at 10am PT that should be very helpful for folks trying to learn how to apply AI to their work.

We'll be sharing best practices on how to use new products like Claude for Excel/Powerpoint.

Attendees will also get one month free of Claude Pro.",44,38,709,74730,https://x.com/alexalbert__/status/2034276242317566107
74,Alex Albert,@alexalbert__,2026-03-18T14:30:28.000Z,Link to signup:,6,3,91,10394,https://x.com/alexalbert__/status/2034276253994508453
75,Ammaar Reshi,@ammaar,2026-03-17T14:34:45.000Z,"Today marks 1 year 
@GoogleDeepMind
  

We redesigned AI Studio, helped millions of developers go from idea to app with Gemini, and got to cover launches live that I would’ve been watching from my couch a year before.

None of it happens without this team. 

Back to pushing.",52,22,582,19179,https://x.com/ammaar/status/2033914943389454712
76,Logan Kilpatrick,@OfficialLoganK,2026-03-18T13:37:20.000Z,"It has been a wild year, but this is just the start. The next year is going to bring much more change than the last and I could not be more excited to get to be on this journey with you and the team. Onwards : )",3,5,75,4531,https://x.com/OfficialLoganK/status/2034262881269842319
77,Philipp Schmid,@_philschmid,2026-03-18T09:16:48.000Z,"Google Colab now has an open-source MCP server that lets you use Colab runtimes with GPUs from any local AI agent.

 Tools to execute_code, connect, notebook editing
 Run Python on cloud GPUs directly from agents
 Can create .ipynb files and add code/markdown 
 Works with",20,76,427,21624,https://x.com/_philschmid/status/2034197315661988010
78,Philipp Schmid,@_philschmid,2026-03-18T09:16:49.000Z,,,4,21,2360,https://x.com/_philschmid/status/2034197318900006956
79,gabriel,@gabriel1,2026-03-18T07:24:46.000Z,"need ai pre-commit ""make code easily consumable so code reads like a book and is skimmable""",15,8,226,20529,https://x.com/gabriel1/status/2034169121177587732
80,gabriel,@gabriel1,2026-03-18T07:00:30.000Z,"only bottleneck is consuming code, so make sure to tell codex that you want just that:

""write extremely easy to consume code, optimize for how easy the code is to read. make the code skimmable.  avoid cleverness. use early returns.""",59,61,1600,97671,https://x.com/gabriel1/status/2034163016032522498
81,gabriel,@gabriel1,2026-03-18T07:24:03.000Z,"also run this as a standalone prompt in ADDITION to adding it to ~/.codex/AGENTS.md

it should be like a pre-commit lmao. ai coding works 100x better when you give it an explicit focus to make code simple, much worse as only a background instruction",3,,111,6684,https://x.com/gabriel1/status/2034168941216764192
82,gabriel,@gabriel1,2026-03-18T06:57:04.000Z,"i find great success with standalone ""cleanup prompts"" to my prs. you can stuff every rule you got into agents.md, but beautiful code is secondary until it's the only focus

for example: ""simplify all code so it's extremely easy to consume, remove not strictly necessary code""",24,5,351,18470,https://x.com/gabriel1/status/2034162152131735899
83,gabriel,@gabriel1,2026-03-18T06:58:26.000Z,"reduce the number of possible states a function can be in with distriminated unions, remove any optionality that is not actual optional, never pass params for overriding code except strictly necessary",1,1,45,2587,https://x.com/gabriel1/status/2034162495687168469
84,Nick,@nickbaumann_,2026-03-18T05:08:41.000Z,"GPT-5.4 mini matters for subagents because it changes what feels worth handing off. 

The parent thread should hold the architecture, plan, and progress narrative. 

Fast subagents can explore the repo, check hypotheses, and preserve the parent thread’s limited attention.",21,36,496,93498,https://x.com/nickbaumann_/status/2034134875234832540
85,Sherwin Wu,@sherwinwu,2026-03-18T05:00:55.000Z,"It’s never been easier to multitask with Codex!

We’re very quickly moving towards a world where it feels like we as humans are now the bottleneck in coding. I always feel so slow / inefficient when needing to check on my handful of subagents.",9,5,90,7063,https://x.com/sherwinwu/status/2034132922480124177
86,Brian Scanlan,@brian_scanlan,2026-03-17T18:46:30.000Z,"We've been building an internal Claude Code plugin system at Intercom with 13 plugins, 100+ skills, and hooks that turn Claude into a full-stack engineering platform. Lots done, more to do. Here's a thread of some highlights.",67,219,2700,652874,https://x.com/brian_scanlan/status/2033978300003987527
87,will depue,@willdepue,2026-03-18T04:20:14.000Z,"some random photos from troop 223, was an incredible time. send all your kids to bsa!",5,,106,16055,https://x.com/willdepue/status/2034122683621998936
88,will depue,@willdepue,2026-03-18T04:21:36.000Z,,2,,16,3877,https://x.com/willdepue/status/2034123027479482454
89,will depue,@willdepue,2026-03-18T04:23:22.000Z,,1,,8,2791,https://x.com/willdepue/status/2034123473724047480
90,will depue,@willdepue,2026-03-18T04:18:00.000Z,"Remembering Mike Lanning, who passed today, leader of the greatest Boy Scout troop in America: Troop 233. Mike was an incredible person, leader & mentor to many. He maintains the record for most Eagle Scouts from one Scoutmaster: 1000+ with Troop 223. He will be deeply missed.",2,2,85,19504,https://x.com/willdepue/status/2034122122331881786
91,Romain Huet,@romainhuet,2026-03-18T02:37:47.000Z,"We just brought our community work into one place, making it easier to find events and programs like Codex Ambassadors and Codex for OSS.

There are 15+ community-led events coming up around the world, with more to come!

Where would you like to see a Codex meetup next?",43,29,179,38362,https://x.com/romainhuet/status/2034096902304895365
92,OpenAI Developers,@OpenAIDevs,2026-03-18T02:28:02.000Z,"From our community, on GPT-5.4 mini and nano:",45,19,380,42209,https://x.com/OpenAIDevs/status/2034094446627983751
93,OpenAI Developers,@OpenAIDevs,2026-03-18T02:28:24.000Z,"Had early access to both GPT-5.4 mini and nano

What feels most interesting to me is that smaller models are starting to make more sense as workers with a specific role, not just ""cheaper"" versions of the bigger one

If a stronger model handles planning and final judgment, while  x.com/OpenAIDevs/sta…",2,5,12,12366,https://x.com/OpenAIDevs/status/2034094541012406592
94,OpenAI Developers,@OpenAIDevs,2026-03-18T02:28:27.000Z,GPT-5.4-mini looks really good for computer-use,1,,18,11691,https://x.com/OpenAIDevs/status/2034094552886481250
95,Tibo,@thsottiaux,2026-03-18T01:42:02.000Z,"Yesterday we launched subagents in Codex. Today we released GPT-5.4-Mini, which is SoTA in its category. Coincidence or genius move?",149,45,1500,75260,https://x.com/thsottiaux/status/2034082872458719604
96,Huel,@huel,2026-03-17T13:57:54.000Z,Sorry we were gone for a month my dad took my phone away :/,3,1,19,3894,https://x.com/huel/status/2033905671305875857
97,gabriel,@gabriel1,2026-03-17T23:42:43.000Z,"hey 
@levelsio
 when you block bots in reply section, do number of bots actually decrease? or is it in vain?",17,1,112,35994,https://x.com/gabriel1/status/2034052842299003327
98,Thariq,@trq212,2026-03-17T23:06:46.000Z,"a bit about how I use Claude to help me write, instead of having Claude write for me",27,27,611,107782,https://x.com/trq212/status/2034043795193663536
99,gabriel,@gabriel1,2026-03-17T23:03:26.000Z,"fun experiment is to set an alarm 4pm every day on your apple watch

after a few months, you are so used to it that you forget it happens. i know it does happen, but last time i can remember was weeks ago",13,,162,14769,https://x.com/gabriel1/status/2034042957008187609
100,gabriel,@gabriel1,2026-03-17T23:03:26.000Z,"i guess this happens with times, as your brain solidifies and newness is drained from experience. would have never forgot this at 11

back then i could walk through all my experiences for days, now i struggle to remember what i ate yesterday. lunch 14234 is not so exciting",2,,48,4007,https://x.com/gabriel1/status/2034042958459376049
101,gabriel,@gabriel1,2026-03-17T23:06:40.000Z,"sounds like im depressed or something, im extremely happy it just sucks that my favorite thing in the world is this feeling of newness & being in awe. you experience this daily as a kid and now we're old and boring, following arbitrary norms that make so sense. ppl don't think",8,,47,3315,https://x.com/gabriel1/status/2034043772536033717
102,Anthony Morris ツ,@amorriscode,2026-03-17T22:48:17.000Z,joined the jank meter club,5,2,90,10081,https://x.com/amorriscode/status/2034039143517589970
103,Felix Rieseberg,@felixrieseberg,2026-03-17T20:35:31.000Z,"We're shipping a new feature in Claude Cowork as a research preview that I'm excited about: Dispatch!

One persistent conversation with Claude that runs on your computer. Message it from your phone. Come back to finished work. 

To try it out, download Claude Desktop, then pair",917,2200,16000,5715822,https://x.com/felixrieseberg/status/2034005731457044577
104,Jimmy Koppel,@jimmykoppel,2026-03-17T22:05:00.000Z,"With all the distractions floating around, someone will write a bestseller on how the ability to maintain focus is your greatest superpower

It will be titled

...

Attention is all you need!",1,1,8,375,https://x.com/jimmykoppel/status/2034028254240104941
105,Jerry Tworek,@MillionInt,2026-03-17T21:57:07.000Z,We have continual learning at home,10,5,265,20305,https://x.com/MillionInt/status/2034026269189558783
106,Boris Cherny,@bcherny,2026-03-17T21:44:10.000Z,"You can now touch grass in Cowork, too",98,68,1600,209859,https://x.com/bcherny/status/2034023009032286422
107,Noah Zweben,@noahzweben,2026-03-17T21:12:47.000Z,"Took the /remote-control magic and powered a single-long running session for Cowork Dispatch. 
Coolest abilities:
1. Send files from local machine so you can work on PPTs on the go
2. Spawn sub-sessions on Desktop that you can drill down on
3. Chat about any local cowork session",11,7,153,19026,https://x.com/noahzweben/status/2034015109933371612
108,Noah Zweben,@noahzweben,2026-03-17T21:12:47.000Z,(Cowork sending me a file!),1,1,22,2239,https://x.com/noahzweben/status/2034015113213337991
109,Noah Zweben,@noahzweben,2026-03-17T21:12:48.000Z,Set up in latest desktop app today!,3,1,8,1103,https://x.com/noahzweben/status/2034015115524378988
110,gabriel,@gabriel1,2026-03-17T21:10:44.000Z,"i can't believe all these early adopters of ai agents were right. im discovering from first principles wanting to run task every X days and send updates to me on my phone and putting together mcp servers.

this is just one out of so many other usecases im using now",23,12,460,23355,https://x.com/gabriel1/status/2034014594017202360
111,gabriel,@gabriel1,2026-03-17T21:11:45.000Z,"i remember people making these predictions right when gpt 4 came out, people building applications for it in 2024. and now here we are. beautiful to see",,1,37,3107,https://x.com/gabriel1/status/2034014852843516017
112,Neal Mohan,@nealmohan,2026-03-17T19:40:41.000Z,".
@youtube
 will be an official Preferred Platform for the 
@FIFAWorldCup
 2026 

We’ll give fans a new level of access to premium content, live match highlights, and historic archives, by teaming up with official broadcasters and launching a global 
@YouTubeCreators
 program.",232,490,4700,404231,https://x.com/nealmohan/status/2033991932721172991
