#,作者,账号,时间,原文,回复,转发,点赞,浏览,链接
1,Tibo,@thsottiaux,2026-04-06T03:38:20.000Z,Codex is for wizards,85,21,478,18931,https://x.com/thsottiaux/status/2040997506927284654
18,Philipp Schmid,@_philschmid,2026-04-05T12:27:52.000Z,"Interested in how open models works? Read this visual guide to Gemma 4 that explains all works with diagrams.

Covers how the model handles images, audio, and text, why only a fraction of parameters run during inference (MoE), and how tiny models (2B) fit on a phone using a",8,18,188,8430,https://x.com/_philschmid/status/2040768380563505345
19,Philipp Schmid,@_philschmid,2026-04-05T12:27:53.000Z,"Big Kudos to 
@MaartenGD
! LFG!",,2,12,1829,https://x.com/_philschmid/status/2040768383902192089
20,Sherwin Wu,@sherwinwu,2026-03-31T23:41:22.000Z,"Everyone told me Tokyo wasn’t the most kid-friendly city, but after visiting Lalaport Mall in Toyosu – I’m starting to think otherwise. The mall has:

- a mini theme park called KidZania, where kids can pretend to do adult jobs for the day, like being a firefighter
- some",4,2,33,5205,https://x.com/sherwinwu/status/2039125935354782172
21,Sherwin Wu,@sherwinwu,2026-04-05T09:56:06.000Z,"UPDATE: MARKIS mall in Minatomirai is also incred – Yokohama in general seems great for kids.

A group called Candy Disco (?!) hosting a kids dance party all afternoon.

Kids clothing stores everywhere.

A Babies R Us – which I don’t even know if we have anymore in the Bay Area!",,,3,575,https://x.com/sherwinwu/status/2040730187843916169
22,Sherwin Wu,@sherwinwu,2026-04-05T09:52:11.000Z,Definitely want you building on top of our products!,2,3,30,4844,https://x.com/sherwinwu/status/2040729203705041202
23,Justine Moore,@venturetwins,2026-04-07T03:30:53.000Z,"This ad was one-shotted by OpenAI's new image model 

Prompt was literally ""make an advertisement for the M4 Pro Mac mini.""",1,1,3,108,https://x.com/venturetwins/status/2041358022086418839
24,terminally onλine εngineer,@tekbog,2026-04-07T03:29:51.000Z,this post has done more for anti AI than anything the safety people could yap about,,,2,78,https://x.com/tekbog/status/2041357759569162490
25,terminally onλine εngineer,@tekbog,2026-04-07T03:27:44.000Z,"dario was talking before about how he wanted to be more conservative with compute contracts while altman was just trying to get as much as possible 

probably a good signal for goog but not as much for ant, looks like sama wins",,,1,121,https://x.com/tekbog/status/2041357229534876020
26,hardmaru,@hardmaru,2026-04-07T03:24:27.000Z,"Following our recent defense announcements, our team just completed a major project with Japan’s Ministry of Internal Affairs and Communications (
@MIC_JAPAN
). 

We built an end-to-end intelligence system to visualize and counter disinformation on social media.

Blog (Japanese):",1,1,4,1040,https://x.com/hardmaru/status/2041356401763881184
27,Sakana AI,@SakanaAILabs,2026-04-07T03:22:43.000Z,"Sakana AIは、総務省「インターネット上の偽・誤情報等への対策技術の開発・実証事業（令和7年度）」において、膨大な偽・誤情報の可視化・判定・対策を担う技術開発を完了しました。


https://
sakana.ai/mic-project

本事業では、膨大な偽・誤情報が流通する現代の情報環境の課題を解決するため、",,7,19,1937,https://x.com/SakanaAILabs/status/2041355967271768359
28,Nikita Bier,@nikitabier,2026-04-07T02:00:37.000Z,"We're rolling out auto-translate worldwide to give posts in any language global reach on X.

The translations are powered by Grok and have improved substantially over the last couple months.

If you prefer to read in the original language, you can always turn off auto-translate",986,661,4300,249942,https://x.com/nikitabier/status/2041335306331549699
29,Nikita Bier,@nikitabier,2026-04-07T03:12:12.000Z,"Credit to 
@yuki_arano
 
@rayhotate
 and the rest of the team for getting this across the finish line.",18,6,82,6563,https://x.com/nikitabier/status/2041353321374748739
30,Matthew Berman,@MatthewBerman,2026-04-07T03:04:27.000Z,"I’m more local-pilled than ever. Streaming tokens at 130t/s from my home to my laptop and having it be sonnet quality is incredible.

I still do all my coding with frontier models though.",14,2,35,2682,https://x.com/MatthewBerman/status/2041351369211457971
31,Aaron Levie,@levie,2026-04-07T02:49:28.000Z,"When you have agents going out and doing work for you, the work just moved up a layer of abstraction.

Now the work is figuring out what to tell the agent to do, ensuring you give it proper instructions, getting needed context to the agent to do its tasks, intervening when it",11,7,41,7311,https://x.com/levie/status/2041347596342460439
32,Peter Yang,@petergyang,2026-04-06T14:30:09.000Z,"Codex is 
@OpenAI
's fastest growing product today.

Here are my top 5 takeaways from 
@embirico
 and 
@romainhuet
 on how the Codex team operates:

1. Plan near or long-term, never medium-term.

Near-term is a concrete thing you can rally a team to ship in 8 weeks. Long-term is a",7,3,47,10936,https://x.com/petergyang/status/2041161545175203850
33,Shweta,@shweta_ai,2026-04-06T16:37:33.000Z,"omg they turned him into Ravan, the ten-headed demon king in hinduism, a literal villian",16,54,723,47604,https://x.com/shweta_ai/status/2041193606351106140
34,Shweta,@shweta_ai,2026-04-07T02:03:28.000Z,,1,,4,201,https://x.com/shweta_ai/status/2041336023826010227
35,Daniel San,@dani_avila7,2026-04-07T01:58:17.000Z,"If you're defining a role: subagent with skills. The agent is the long-lived actor, skills are its reference material

If you're running a task: skill with context: fork. Isolation without spinning up a full agent file

Full breakdown on how to combine both effectively",,2,13,1768,https://x.com/dani_avila7/status/2041334719481004341
36,Peter Yang,@petergyang,2026-04-07T01:45:02.000Z,"I had a wonderful chat with my friend 
@illscience
 (a16z GP) about the future of work in an AI agent first world:

1. Coding will eat all knowledge work

Writing docs, building slides, pulling analytics — I now get the first 80% done through AI coding agents before doing manual",8,11,47,26901,https://x.com/petergyang/status/2041331383344443795
37,Elon Musk,@elonmusk,2026-04-07T01:32:58.000Z,NASA Artemis passing close to the Moon,6300,27000,285000,16579961,https://x.com/elonmusk/status/2041328344499888579
38,Jerry Liu,@jerryjliu0,2026-04-07T01:24:08.000Z,Hosted filesystems for agents are the new RAG,7,2,37,6949,https://x.com/jerryjliu0/status/2041326122978418731
39,Y Combinator,@ycombinator,2026-04-06T16:00:01.000Z,"We're excited to welcome Harshita Arora (
@aroraharshita33
) as YC's newest General Partner!

She started coding at 13, built and sold her first app as a teenager, and later co-founded AtoB (YC S20), a Series C company building financial infrastructure for the trucking industry,",58,48,626,152178,https://x.com/ycombinator/status/2041184159960633357
40,Kevin Lu,@kevinlu625,2026-04-07T01:15:49.000Z,"Been a pleasure working with 
@ivanburazin
 and the 
@daytonaio
 team!

Excited to work on this very early yet inevitable future of agents with computers",1,,6,262,https://x.com/kevinlu625/status/2041324030767305086
41,Jerry Liu,@jerryjliu0,2026-04-07T01:15:09.000Z,"I just listened to the podcast episode last night

""19B end of Feb, wonder where they are right now"" 

absolutely wild",,,5,1793,https://x.com/jerryjliu0/status/2041323861011321019
42,Lenny Rachitsky,@lennysan,2026-04-07T01:10:56.000Z,"Anthropic added the combined ARR of Palantir, Anduril, and Databricks—in one month.",29,30,559,38786,https://x.com/lennysan/status/2041322800435404835
43,Jerry Liu,@jerryjliu0,2026-04-07T00:55:18.000Z,"Let Claude Code automate your business operations

I started a tutorial series geared towards providing example of real-world document-heavy tasks that can be automated with agentic workflows: starting with KYC (know your customer) and loan processing, and expanding to some other",2,,20,2519,https://x.com/jerryjliu0/status/2041318865284800569
44,Jerry Liu,@jerryjliu0,2026-04-07T00:55:44.000Z,"The tutorial uses LlamaParse, come check it out! 
https://
cloud.llamaindex.ai/?utm_source=xj
l&utm_medium=social
…",,,,449,https://x.com/jerryjliu0/status/2041318976048038040
45,rohan anil,@_arohan_,2026-04-07T00:55:07.000Z,It’s truly marvelous how our brains work. I have never been this hyper excited ever. Almost feel like the fog got lifted and everything is clear.,7,,70,4766,https://x.com/_arohan_/status/2041318821626364089
46,rohan anil,@_arohan_,2026-04-07T00:52:24.000Z,Everyone wants those Claudelicious tokens on very high 99 reasoning.,,,17,4224,https://x.com/_arohan_/status/2041318138239914433
47,Mark Saroufim,@marksaroufim,2026-04-06T23:39:27.000Z,"After 5 amazing years, I’m leaving the PyTorch team at Meta. I did my best work there and got to work with some of the smartest, most OSS pilled engineers in the industry. More soon on what’s next: still systems, still OSS (but not everything), a smaller team with a lot of GPUs",47,16,570,21788,https://x.com/marksaroufim/status/2041299778479493494
48,Chris Park,@chrisparkX,2026-04-07T00:35:25.000Z,"X API will remain free for apps that provide critical emergency alerts, public service updates, and meaningfully serves humanity. 

We are launching a new API program for Public Utility developers with clear guidelines, expanded access & resources coming soon.",39,44,451,66275,https://x.com/chrisparkX/status/2041313865128948137
49,Peter Yang,@petergyang,2026-04-07T00:30:21.000Z,I don’t know measuring productivity by token usage sounds almost as dumb as measuring by lines of code written.,15,4,63,5698,https://x.com/petergyang/status/2041312589645574578
50,Qualcomm,@Qualcomm,2026-04-02T20:44:03.000Z,"With day‑zero enablement on 
@Snapdragon
, we’re delivering Gemma 4 to developers early, unlocking fast access to next‑gen on‑device AI. Congrats Qualcomm and 
@googlegemma
 teams on moving open‑source AI forward.",,19,47,4650,https://x.com/Qualcomm/status/2039806087969579042
51,Qualcomm,@Qualcomm,2026-04-06T17:35:57.000Z,"What's cooler than a fully-liquid cooled rack? An AI200 liquid cooled rack with 43 TB of memory. Qualcomm’s Vikram Krishnamachary shares how the Qualcomm AI200 rack delivers groundbreaking, rack-scale performance and superior memory capacity.",,21,41,3857,https://x.com/Qualcomm/status/2041208301124190368
52,Nikita Bier,@nikitabier,2026-03-25T18:05:28.000Z,"We're testing a new reply setting on posts: 

We're expanding the ""Accounts you follow"" option to include their followers too: your 2nd degree connections.

This allows a wider audience to participate—but still keeps things intimate

Early access available to Premium+ subscribers",1500,1500,5800,716554,https://x.com/nikitabier/status/2036867075705364911
53,Nikita Bier,@nikitabier,2026-03-25T18:13:49.000Z,"Credit to 
@rsrbk123
 
@striedinger
 
@x_belous
 
@singhai
 for their work on this. 

And thanks 
@photomatt
 for the suggestion",57,38,589,140908,https://x.com/nikitabier/status/2036869177173303398
54,Nikita Bier,@nikitabier,2026-04-07T00:05:32.000Z,Friends-of-Friends is now available to all Premium users,10,17,85,10996,https://x.com/nikitabier/status/2041306344108798167
55,Forward Future,@ForwardFuture,2026-04-06T22:15:11.000Z,"“There’s now a futures market for compute.”


@wayne_nelmz
 CTO 
@OrnnExchange
:

“Clusters of H100s and B200s are scarce. That scarcity is what makes a futures market possible.""

""People want to lock in future capacity today. And as more people do that, the price goes up.”

“Trading",3,10,24,2651,https://x.com/ForwardFuture/status/2041278573609144542
56,Lenny Rachitsky,@lennysan,2026-04-06T22:15:34.000Z,"Breaking: Anthropic is now at $30B ARR.

Up from $19B in February.

That's $11B ARR added in one month.

WAT.",103,155,1800,291236,https://x.com/lennysan/status/2041278669487018227
57,Lenny Rachitsky,@lennysan,2026-04-06T23:26:16.000Z,Learn from their head of growth,,1,10,6568,https://x.com/lennysan/status/2041296460097143066
58,Pan Lu,@lupantech,2026-04-06T22:32:45.000Z,"Excited to share that OctoTools has been accepted to ACL 2026. 

OctoTools is our training-free, extensible framework for tool-using agents on complex reasoning tasks.

Grateful to the broader community for the support. Our GitHub repo has now reached 1.4K stars. 

Huge",,2,16,1706,https://x.com/lupantech/status/2041282993109766148
59,Zechen Zhang,@ZechenZhang5,2026-04-06T22:57:52.000Z,"""We are just adding 0s to our revenue every year""",,,,48,https://x.com/ZechenZhang5/status/2041289314907091372
60,Peter Gostev,@petergostev,2026-04-06T22:55:32.000Z,"It's so curious to me, doesn't look like Google is serious about AI. They've been investing in Anthropic for years, selling them TPUs, and basically diverting resources from Gemini while it is cracking under capacity constraints.

Imagine OpenAI selling capacity to their core",54,4,227,44164,https://x.com/petergostev/status/2041288725758411066
61,Yuchen Jin,@Yuchenj_UW,2026-04-06T22:39:23.000Z,"Crazy revenue growth at Anthropic. So they officially surpassed OpenAI’s $25B ARR reported a few days ago?

The focus on coding models and enterprise clearly paid off. Once you’re locked into a year-long contract, switching to Codex isn’t easy.

Claude Code shipping velocity is",27,10,197,17417,https://x.com/Yuchenj_UW/status/2041284661159383340
62,elie,@eliebakouch,2026-04-06T22:14:19.000Z,i'm never complaining about inference/training mismatch again,7,15,435,33662,https://x.com/eliebakouch/status/2041278355685745142
63,Shanu Mathew,@ShanuMathew93,2026-04-05T14:29:19.000Z,Wild “Our designers write more code now than was written by an engineer six months ago”,1,2,20,5774,https://x.com/ShanuMathew93/status/2040798947589976353
64,rohan anil,@_arohan_,2026-04-06T22:05:38.000Z,So excited. Very excited. Incredibly excited,9,5,140,29805,https://x.com/_arohan_/status/2041276168499052757
65,Kieran Klaassen,@kieranklaassen,2026-04-06T22:05:08.000Z,"I wonder if 
@dhh
 will start loving types languages when using AI coding. :P",1,1,7,1893,https://x.com/kieranklaassen/status/2041276044167327762
66,Mitchell Hashimoto,@mitchellh,2026-04-06T22:03:03.000Z,"We now build binary ""xcframework"" packages for libghostty on every commit for macOS and iOS. They're available via GitHub releases and blob storage. Just drop them into Xcode or in a Package.swift and you're ready to go. No Zig headaches. No build step. 
https://
github.com/ghostty-org/gh
ostty/pull/12149
…",6,14,149,12684,https://x.com/mitchellh/status/2041275519535288629
67,Austin Tedesco,@tedescau,2026-04-06T21:48:27.000Z,"My favorite little hack in Claude Code is asking its confidence level before letting it ship something. Anything under 90% confidence and I ask it to go find improvements until its more certain.

Without a real technical background, asking a simple question like this dramatically",10,5,98,9116,https://x.com/tedescau/status/2041271846134501599
68,Q,@qtnx_,2026-04-06T20:43:14.000Z,"went to Paris Prime Intellect event, glad to have met some moots for the first time, and to see that the Paris AI ecosystem is still vibrant!",4,2,79,2893,https://x.com/qtnx_/status/2041255433373925872
69,Manus,@ManusAI,2026-04-06T15:05:16.000Z,"Your team's best insights, decisions, and workflows live in Slack. 

We built three distinct ways to use Manus in 
@SlackHQ
, depending on how you work.

Meet Manus for Slack.",11,19,136,11984,https://x.com/ManusAI/status/2041170379100582188
70,Brad Groux,@BradGroux,2026-04-06T21:31:40.000Z,"GitHub has been a tremendous ally to OpenClaw. We're blessed to be partnered!

Thank you to 
@kdaigle
, 
@Meta_Ashley
, 
@KevinCrosby1
, 
@GreggCochran
 and the entire 
@github
 team for all they have done, and continue to do.

Open Source takes a village. MORE TO COME FROM THIS COLLAB!",,2,61,3094,https://x.com/BradGroux/status/2041267621237067794
71,Daniel San,@dani_avila7,2026-04-06T21:30:09.000Z,"Ok here we go! Gemma 4 running locally on my phone 

Already available on Google AI Edge Gallery for iOS and Android!",4,4,28,2242,https://x.com/dani_avila7/status/2041267238515184099
72,Cloudflare Changelog,@CFchangelog,2026-04-06T18:36:19.000Z,Email Security now supports DANE for MX deployments. Regional MX hostnames now publish DNSSEC-backed certificates for verified encrypted delivery automatically.,,1,17,3793,https://x.com/CFchangelog/status/2041223492486545463
73,Matthew Berman,@MatthewBerman,2026-04-06T21:15:46.000Z,"> On flight
> See guy in Meta Eng Hoodie
> Walk by, he’s coding
> Literally writing code by hand
> Walk back to my seat
> Liquidate my Meta position",41,7,447,28154,https://x.com/MatthewBerman/status/2041263618537275411
74,Alex Atallah,@alexatallah,2026-04-06T20:39:32.000Z,So good,3,,9,907,https://x.com/alexatallah/status/2041254500414128570
75,Mitchell Hashimoto,@mitchellh,2026-04-06T20:36:36.000Z,"Devlog about the recently added Kitty graphics protocol support to libghostty, highlighting how kept libghostty to zero runtime dependencies, how libghostty is secure by default for the protocol, and showcasing the Ghostling implementation.",7,5,192,18349,https://x.com/mitchellh/status/2041253761402949819
76,Mitchell Hashimoto,@mitchellh,2026-04-06T20:36:59.000Z,YouTube:,,,13,6233,https://x.com/mitchellh/status/2041253861449748658
77,Lenny Rachitsky,@lennysan,2026-04-06T20:15:11.000Z,"Narrative violation: Anthropic's Head of Growth says we'll need more PMs, not fewer.

""While PMs and designers are getting leverage from AI, engineering is getting the most leverage right now. If you think about a default team with 5 engineers, 1 designer, 1 PM—with Claude Code,",25,30,195,126191,https://x.com/lennysan/status/2041248375098810438
78,Daniel San,@dani_avila7,2026-04-06T20:36:26.000Z,"Without PM’s, growth with this much engineering output is absolute chaos.",,,2,349,https://x.com/dani_avila7/status/2041253722458591467
79,Felix Rieseberg,@felixrieseberg,2026-04-06T20:20:38.000Z,"To approve your Claude's requests for permissions, I recommend using a little desk buddy.

Mine lives off tokens and gets upset if you don't approve things quickly enough. It's connected to the app via bluetooth.",57,35,511,56618,https://x.com/felixrieseberg/status/2041249744828444991
80,Trevin Chow,@trevin,2026-04-06T18:19:12.000Z,"Compound Engineering v2.62.1 is out. 

- Reduce token usage by ce-brainstorm, ce-ideate, ce-review and document-review by 25-40%!  
- Also improved document-review to be smarter about when to apply autofixes to docs, it was being too conservative creating prompt fatigue

2.63.0",,2,25,2262,https://x.com/trevin/status/2041219184617750592
81,Sayak Paul,@RisingSayak,2026-04-06T20:34:43.000Z,"This is happening tomorrow.

Wrapped my slides and I feel good about how they turned out!

Hoping to share some really cool stuff. So, if you're around, do drop by!",,1,6,500,https://x.com/RisingSayak/status/2041253290025931233
82,Mitchell Hashimoto,@mitchellh,2026-04-06T20:33:56.000Z,"Libghostty now fully exposes the Kitty Graphics Protocol. This may be the first native embeddable terminal to support this. I added a full Kitty graphics renderer to Ghostling (the libghostty demo project) in ~270 LoC. Ghostling PR: 
https://
github.com/ghostty-org/gh
ostling/pull/13
…

Ghostty GUI has",9,44,555,24717,https://x.com/mitchellh/status/2041253090205249584
83,Thariq,@trq212,2026-04-06T20:30:06.000Z,"I want to do a few more of these calls.  

If your MAX 20x plan ran out of tokens unexpectedly early and you're willing to screenshare and run some prompts through Claude Code please comment.

Trying to figure out how we can improve /usage to give more info.",263,69,1200,202191,https://x.com/trq212/status/2041252127943877068
84,Kieran Klaassen,@kieranklaassen,2026-04-06T15:56:59.000Z,"WTF! 
@AnthropicAI
 what is happening with my sub! It's Monday!! And I used 91% of My sub?!?!?! This has been happening the last 3 weeks. I paid so much in extra usage credits. It's insane. Why do I even have a sub? How do I even understand whats going on here? 

I just use Claude",129,39,665,172958,https://x.com/kieranklaassen/status/2041183394843984325
85,Kieran Klaassen,@kieranklaassen,2026-04-06T20:27:48.000Z,This has been resolved! see,,,11,6417,https://x.com/kieranklaassen/status/2041251547154403492
86,Kieran Klaassen,@kieranklaassen,2026-04-06T20:25:30.000Z,"Resolved!! 
@trq212
 helped me out debug where the token usage came from and it was my fault 100%

Script to find token usage 
https://
gist.github.com/kieranklaassen
/7b2ebb39cbbb78cc2831497605d76cc6
…

I had a recurring script that ran every 5 minutes that should not have run every 5.

I hope we can make it easier to detect these",40,38,488,244516,https://x.com/kieranklaassen/status/2041250971284803831
87,Flo Crivello,@Altimor,2026-04-06T17:02:38.000Z,"Okay this one seems real. First time ever an OSS model beats Sonnet 4.6(!!) on our evals. Now begins vibe testing, but this is promising.",18,65,926,159217,https://x.com/Altimor/status/2041199915943215163
88,Peter Gostev,@petergostev,2026-04-06T20:20:21.000Z,"Get ready for another week of 'londonmaxxing' - there's a big 
@aiDotEngineer
 conference in London paired with an absolutely gorgeous weather that would trick everyone that London is just like SF (+things to do) and not grey and miserable",1,,3,447,https://x.com/petergostev/status/2041249672866480213
89,Mustafa Suleyman,@mustafasuleyman,2026-04-06T17:43:53.000Z,"The team really killed it on photorealism with this model. While testing we found out ice is a great barometer for this - try this glacier prompt.

A glacier wall towering like a cathedral interior, deep blue ice with light refracting through layers, tiny human figure at base for",25,15,100,15387,https://x.com/mustafasuleyman/status/2041210297491574861
90,Ed Newton-Rex,@ednewtonrex,2026-04-06T19:45:08.000Z,what’s the training data,2,2,44,468,https://x.com/ednewtonrex/status/2041240812252549155
91,Brian Merchant,@bcmerchant,2026-04-06T18:14:53.000Z,"Movements to shut down or ban data centers are amassing power and notching victories. Wikipedia has banned AI-generated content in articles. Workers and consumers have pushed firms to reject AI-produced content outright. 

It's open season for refusing AI.",12,300,1100,14604,https://x.com/bcmerchant/status/2041218097672298598
92,Ronan Farrow,@RonanFarrow,2026-04-06T17:58:16.000Z,"(1/11) For the past year and a half, I've been investigating OpenAI and Sam Altman for 
@NewYorker
. With my coauthor 
@andrewmarantz
, I reviewed never-before-disclosed internal memos, obtained 200+ pages of documents related to a close colleague, including extensive private",199,3200,12000,1019391,https://x.com/RonanFarrow/status/2041213917611856067
93,Evan Morikawa,@E0M,2026-04-06T19:20:37.000Z,Another day another task. We're quickly leaving the era where companies put a huge amount of effort into a single demo. Soon the concept of a discrete task will become obsolete.,4,6,48,6235,https://x.com/E0M/status/2041234640531599811
94,Lucas Valbuena,@NotLucknite,2026-04-06T19:09:57.000Z,"The new website for ZeroLeaks is coming very soon, stay tuned…",7,7,24,516,https://x.com/NotLucknite/status/2041231955069419708
95,terminally onλine εngineer,@tekbog,2026-04-06T19:09:10.000Z,"everything is so performative nowadays, words mean nothing, even computers lie to you now",19,10,155,3401,https://x.com/tekbog/status/2041231759891980403
96,Nick Khami,@skeptrune,2026-04-06T19:02:40.000Z,"hi, 
@michael_chomsky
 and i are starting a low effort podcast and hiring a video editor

we're recording once or twice a week, and you should apply.

remote, pay is $1500-$3000/mo depending on experience and location

our interview process will be entirely proof of work based. dm",39,7,185,35209,https://x.com/skeptrune/status/2041230125023539445
97,Samuel Spitz,@samuel_spitz,2026-04-06T16:58:36.000Z,"Introducing Replit AI SDR

Find your next 100 customers with AI",33,23,494,107358,https://x.com/samuel_spitz/status/2041198900791714278
98,Ananny Rahman,@anailytics,2026-04-06T17:30:12.000Z,"@Replit
 to become the BizOS in the AI era.",,2,32,20498,https://x.com/anailytics/status/2041206852571062609
99,Cathie Wood,@CathieDWood,2026-04-06T11:58:10.000Z,"Truth wins out, 
@amasad
 and 
@Replit
 !",16,16,141,73496,https://x.com/CathieDWood/status/2041123293634179325
100,James Zou,@james_y_zou,2026-04-06T18:38:59.000Z,"Training multi-agent teams is hard. 

#AgentFlow comes to the rescue. We introduce Flow-GRPO, an efficient method to train multi-agent teams. Improves planning and tool use.

Selected as an #ICLR2026 Oral (top 1%)",2,11,75,10012,https://x.com/james_y_zou/status/2041224164338758019
101,Matthew Berman,@MatthewBerman,2026-04-06T18:38:13.000Z,Wtf Safari is actually a really good browser…,68,17,467,62992,https://x.com/MatthewBerman/status/2041223969727004876
102,austin lau,@helloitsaustin,2026-04-06T18:17:08.000Z,"some more ramblings from working at 
@AnthropicAI
. 

I've been asked a few times what the single most important thing a growth marketer should be doing with AI that most aren't. 

surprise, it's not just a single specific task. after running dozens of growth workflows through",23,44,643,83766,https://x.com/helloitsaustin/status/2041218663827812815
103,Ethan Mollick,@emollick,2026-04-06T18:16:51.000Z,"There were likely no major work impacts of GenAI in any large firm throughout 2025. We did not have agentic tools, adoption takes time, and everyone was experimenting with process. 

That is starting to change. Studies that show no impact in 2025 don't tell us much about 2027.",33,12,188,14112,https://x.com/emollick/status/2041218593367478276
104,Philip Clark,@philipwc,2026-04-06T17:50:15.000Z,"Anyone pissed about claude's performance should watch the 
@lennysan
's podcast with 
@TheAmolAvasare
, Head of Growth at Anthropic. TLDR, they're 10x every year.

Not excusing bugs or outages, but more that if you're surprised at this stage are you really paying attention.",1,1,11,3494,https://x.com/philipwc/status/2041211899740827714
105,Matthew Berman,@MatthewBerman,2026-04-06T18:12:35.000Z,"Things I’m doing while flying at 34,000 feet:
* Fine-tuning on my DGX Station (SSH)
* Running 8 concurrent 
@cursor_ai
 cloud agents
* Replying to emails
* Posting on X",15,4,63,7190,https://x.com/MatthewBerman/status/2041217521215279526
106,Matthew Berman,@MatthewBerman,2026-04-06T18:03:59.000Z,"Fine-tuning Gemma 4 on my DGX Station while flying 34,000 feet in the fair is a surreal feeling.",23,8,164,7895,https://x.com/MatthewBerman/status/2041215355872321695
107,terminally onλine εngineer,@tekbog,2026-04-06T18:03:23.000Z,how come everyone has a podcast now?,21,1,74,38416,https://x.com/tekbog/status/2041215203103379945
